10000000000+0i,-7.673829303719517e-06-1.025238741255947e-08i,-0.0002183786370158122-7.010984333587605e-07i
11000000000+0i,-8.441212234091469e-06-1.127762615381542e-08i,-0.0002402165007173935-7.712082766946363e-07i
12000000000+0i,-9.208595164463419e-06-1.230286489507136e-08i,-0.0002620543644189747-8.413181200305124e-07i
13000000000+0i,-9.97597809483537e-06-1.332810363632731e-08i,-0.0002838922281205559-9.114279633663884e-07i
14000000000+0i,-1.074336102520732e-05-1.435334237758325e-08i,-0.000305730091822137-9.815378067022644e-07i
15000000000+0i,-1.151074395557927e-05-1.53785811188392e-08i,-0.0003275679555237183-1.05164765003814e-06i
16000000000+0i,-1.227812688595122e-05-1.640381986009515e-08i,-0.0003494058192252995-1.121757493374017e-06i
17000000000+0i,-1.304550981632318e-05-1.74290586013511e-08i,-0.0003712436829268808-1.191867336709893e-06i
18000000000+0i,-1.381289274669513e-05-1.845429734260705e-08i,-0.000393081546628462-1.261977180045769e-06i
19000000000+0i,-1.458027567706708e-05-1.947953608386299e-08i,-0.0004149194103300432-1.332087023381645e-06i
20000000000+0i,-1.534765860743903e-05-2.050477482511894e-08i,-0.0004367572740316245-1.402196866717521e-06i
21000000000+0i,-1.611504153781099e-05-2.153001356637489e-08i,-0.0004585951377332057-1.472306710053397e-06i
22000000000+0i,-1.688242446818294e-05-2.255525230763083e-08i,-0.0004804330014347869-1.542416553389273e-06i
23000000000+0i,-1.764980739855489e-05-2.358049104888678e-08i,-0.0005022708651363681-1.612526396725149e-06i
24000000000+0i,-1.841719032892684e-05-2.460572979014272e-08i,-0.0005241087288379493-1.682636240061025e-06i
25000000000+0i,-1.918457325929879e-05-2.563096853139867e-08i,-0.0005459465925395305-1.752746083396901e-06i
26000000000+0i,-1.995195618967074e-05-2.665620727265462e-08i,-0.0005677844562411117-1.822855926732777e-06i
27000000000+0i,-2.071933912004269e-05-2.768144601391056e-08i,-0.000589622319942693-1.892965770068653e-06i
28000000000+0i,-2.148672205041464e-05-2.870668475516651e-08i,-0.000611460183644274-1.963075613404529e-06i
29000000000+0i,-2.22541049807866e-05-2.973192349642246e-08i,-0.0006332980473458554-2.033185456740405e-06i
30000000000+0i,-2.302148791115855e-05-3.075716223767841e-08i,-0.0006551359110474367-2.103295300076281e-06i
31000000000+0i,-2.37888708415305e-05-3.178240097893435e-08i,-0.0006769737747490179-2.173405143412157e-06i
32000000000+0i,-2.455625377190245e-05-3.28076397201903e-08i,-0.0006988116384505991-2.243514986748033e-06i
33000000000+0i,-2.532363670227441e-05-3.383287846144625e-08i,-0.0007206495021521803-2.313624830083909e-06i
34000000000+0i,-2.609101963264636e-05-3.48581172027022e-08i,-0.0007424873658537617-2.383734673419785e-06i
35000000000+0i,-2.685840256301831e-05-3.588335594395814e-08i,-0.0007643252295553426-2.453844516755661e-06i
36000000000+0i,-2.762578549339026e-05-3.690859468521409e-08i,-0.0007861630932569241-2.523954360091538e-06i
37000000000+0i,-2.839316842376222e-05-3.793383342647004e-08i,-0.0008080009569585053-2.594064203427413e-06i
38000000000+0i,-2.916055135413416e-05-3.895907216772597e-08i,-0.0008298388206600864-2.664174046763289e-06i
39000000000+0i,-2.992793428450611e-05-3.998431090898193e-08i,-0.0008516766843616676-2.734283890099165e-06i
40000000000+0i,-3.069531721487807e-05-4.100954965023788e-08i,-0.0008735145480632489-2.804393733435042e-06i
41000000000+0i,-3.146270014525002e-05-4.203478839149383e-08i,-0.00089535241176483-2.874503576770918e-06i
42000000000+0i,-3.223008307562197e-05-4.306002713274978e-08i,-0.0009171902754664113-2.944613420106794e-06i
43000000000+0i,-3.299746600599392e-05-4.408526587400571e-08i,-0.0009390281391679925-3.014723263442669e-06i
44000000000+0i,-3.376484893636588e-05-4.511050461526166e-08i,-0.0009608660028695738-3.084833106778545e-06i
45000000000+0i,-3.453223186673782e-05-4.613574335651761e-08i,-0.000982703866571155-3.154942950114422e-06i
46000000000+0i,-3.529961479710978e-05-4.716098209777355e-08i,-0.001004541730272736-3.225052793450298e-06i
47000000000+0i,-3.606699772748172e-05-4.81862208390295e-08i,-0.001026379593974317-3.295162636786173e-06i
48000000000+0i,-3.683438065785367e-05-4.921145958028544e-08i,-0.001048217457675899-3.36527248012205e-06i
49000000000+0i,-3.760176358822563e-05-5.02366983215414e-08i,-0.00107005532137748-3.435382323457925e-06i
50000000000+0i,-3.836914651859758e-05-5.126193706279734e-08i,-0.001091893185079061-3.505492166793802e-06i
51000000000+0i,-3.913652944896954e-05-5.22871758040533e-08i,-0.001113731048780642-3.575602010129678e-06i
52000000000+0i,-3.990391237934148e-05-5.331241454530923e-08i,-0.001135568912482223-3.645711853465554e-06i
53000000000+0i,-4.067129530971344e-05-5.433765328656519e-08i,-0.001157406776183805-3.71582169680143e-06i
54000000000+0i,-4.143867824008538e-05-5.536289202782112e-08i,-0.001179244639885386-3.785931540137305e-06i
55000000000+0i,-4.220606117045734e-05-5.638813076907708e-08i,-0.001201082503586967-3.856041383473182e-06i
56000000000+0i,-4.297344410082928e-05-5.741336951033301e-08i,-0.001222920367288548-3.926151226809058e-06i
57000000000+0i,-4.374082703120124e-05-5.843860825158897e-08i,-0.001244758230990129-3.996261070144933e-06i
58000000000+0i,-4.45082099615732e-05-5.946384699284492e-08i,-0.001266596094691711-4.06637091348081e-06i
59000000000+0i,-4.527559289194514e-05-6.048908573410086e-08i,-0.001288433958393292-4.136480756816685e-06i
60000000000+0i,-4.60429758223171e-05-6.151432447535681e-08i,-0.001310271822094873-4.206590600152562e-06i
61000000000+0i,-4.681035875268904e-05-6.253956321661275e-08i,-0.001332109685796454-4.276700443488437e-06i
62000000000+0i,-4.7577741683061e-05-6.35648019578687e-08i,-0.001353947549498036-4.346810286824315e-06i
63000000000+0i,-4.834512461343295e-05-6.459004069912465e-08i,-0.001375785413199617-4.416920130160189e-06i
64000000000+0i,-4.91125075438049e-05-6.56152794403806e-08i,-0.001397623276901198-4.487029973496066e-06i
65000000000+0i,-4.987989047417685e-05-6.664051818163653e-08i,-0.001419461140602779-4.557139816831942e-06i
66000000000+0i,-5.064727340454882e-05-6.76657569228925e-08i,-0.001441299004304361-4.627249660167818e-06i
67000000000+0i,-5.141465633492076e-05-6.869099566414845e-08i,-0.001463136868005942-4.697359503503694e-06i
68000000000+0i,-5.218203926529272e-05-6.97162344054044e-08i,-0.001484974731707523-4.767469346839571e-06i
69000000000+0i,-5.294942219566466e-05-7.074147314666033e-08i,-0.001506812595409104-4.837579190175447e-06i
70000000000+0i,-5.371680512603661e-05-7.176671188791628e-08i,-0.001528650459110685-4.907689033511322e-06i
71000000000+0i,-5.448418805640856e-05-7.279195062917222e-08i,-0.001550488322812267-4.977798876847198e-06i
72000000000+0i,-5.525157098678052e-05-7.381718937042818e-08i,-0.001572326186513848-5.047908720183075e-06i
73000000000+0i,-5.601895391715247e-05-7.484242811168412e-08i,-0.001594164050215429-5.11801856351895e-06i
74000000000+0i,-5.678633684752443e-05-7.586766685294008e-08i,-0.001616001913917011-5.188128406854827e-06i
75000000000+0i,-5.755371977789636e-05-7.689290559419599e-08i,-0.001637839777618591-5.258238250190701e-06i
76000000000+0i,-5.832110270826832e-05-7.791814433545194e-08i,-0.001659677641320173-5.328348093526579e-06i
